Category,Item,ItemType,SuggestedVerbKeysTop,SuggestedVerbLabelsTop,SuggestedVerbKeysMore,SuggestedVerbLabelsMore,SuggestedLocationCategoryNames,SuggestedLocationQuickPickKeys,SuggestedLocationQuickPickLabels,MatchedOverrideRules
Brakes & Air System,Brake Caliper,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Chamber,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Drum,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Fluid,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Hardware Kit,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Hose / Line,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Lining,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Master Cylinder,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Pad,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Relay Valve,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Rotor,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake Shoe,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Brake System Service,SERVICE,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Foot Brake Valve (Treadle Valve),PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Gladhand,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Hand Control Valve,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Parking Brake Valve,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
Brakes & Air System,Quick Release Valve,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,S-Cam,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,S-Cam Bushing,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Slack Adjuster,PART,diagnose|inspect|air_test|leak_check|adjust|bleed|replace|repair|install|remove|service|torque|pressure_test|test|clean,Diagnose|Inspect|Air Test|Leak Check|Adjust|Bleed|Replace|Repair|Install|Remove|Service|Torque|Pressure Test|Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,General Orientation|Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|Truck / Tractor Areas|Trailer Areas,general|steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_front|trailer_axle_rear|truck_underbody|truck_engine_compartment,General|Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Front)|Trailer Axle (Rear)|Underbody|Engine Compartment,
Brakes & Air System,Spring Brake Chamber,PART,inspect|replace|adjust|bleed|repair|test|air_test|diagnose|leak_check|install|remove|service|torque|pressure_test|clean,Inspect|Replace|Adjust|Bleed|Repair|Test|Air Test|Diagnose|Leak Check|Install|Remove|Service|Torque|Pressure Test|Clean,lubricate|grease|measure|verify,Lubricate|Grease|Measure|Verify,Truck / Tractor Axles & Wheel Ends|Trailer Axles & Wheel Ends|General Orientation|Truck / Tractor Areas|Trailer Areas,steer_axle_left_wheel_end|steer_axle_right_wheel_end|drive_axle_forward|drive_axle_rear|trailer_axle_rear|general|trailer_axle_front|truck_underbody|truck_engine_compartment,Steer Axle - Left Wheel End|Steer Axle - Right Wheel End|Drive Axle (Forward)|Drive Axle (Rear)|Trailer Axle (Rear)|General|Trailer Axle (Front)|Underbody|Engine Compartment,KW010
